Ratio Percentage,Primary Enc Counts From Zero,Secondary Enc Counts from zero
100,8009,35300
99,8142,35215
98,8276,35129
97,8411,35042
96,8549,34953
95,8689,34863
94,8831,34771
93,8975,34678
92,9121,34583
91,9270,34487
90,9420,34390
89,9573,34290
88,9728,34189
87,9886,34086
86,10046,33981
85,10208,33875
84,10373,33766
83,10541,33656
82,10711,33544
81,10884,33429
80,11060,33313
79,11239,33194
78,11420,33074
77,11605,32951
76,11793,32825
75,11984,32697
74,12178,32567
73,12375,32434
72,12576,32299
71,12781,32161
70,12988,32020
69,13200,31877
68,13415,31730
67,13634,31581
66,13858,31428
65,14085,31272
64,14316,31113
63,14552,30951
62,14792,30785
61,15036,30615
60,15286,30442
59,15540,30264
58,15799,30083
57,16063,29898
56,16332,29709
55,16607,29515
54,16887,29316
53,17173,29113
52,17464,28905
51,17762,28692
50,18065,28474
49,18375,28251
48,18692,28022
47,19015,27787
46,19346,27546
45,19683,27299
44,20028,27045
43,20381,26785
42,20742,26518
41,21110,26243
40,21487,25962
39,21873,25672
38,22267,25374
37,22671,25068
36,23085,24753
35,23508,24428
34,23942,24094
33,24386,23751
32,24841,23397
31,25307,23032
30,25786,22655
29,26276,22268
28,26779,21867
27,27294,21454
26,27823,21027
25,28366,20586
24,28924,20131
23,29496,19660
22,30084,19173
21,30688,18669
20,31308,18147
19,31946,17606
18,32601,17046
17,33275,16465
16,33968,15862
15,34681,15237
14,35415,14588
13,36169,13914
12,36946,13213
11,37746,12484
10,38570,11725
9,39418,10936
8,40291,10114
7,41191,9257
6,42117,8364
5,43072,7433
4,44055,6461
3,45069,5446
2,46113,4386
1,47188,3278
0,48296,2120
,0,0